"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Series"
"Conference Paper","Bai X,Li M,Pei D,Li S,Ye D","Continuous Delivery of Personalized Assessment and Feedback in Agile Software Engineering Projects","","2018","","","58–67","Association for Computing Machinery","New York, NY, USA","Proceedings of the 40th International Conference on Software Engineering: Software Engineering Education and Training","Gothenburg, Sweden","2018","9781450356602","","https://doi-org.proxy.bnl.lu/10.1145/3183377.3183387;http://dx.doi.org/10.1145/3183377.3183387","10.1145/3183377.3183387","In recent years, Agile development has been adopted in project practices of Software Engineering (SE) courses. However, it is a great challenge to provide timely assessment and feedback to project teams and individual students with a frequency that catches up with iterative, incremental, and cooperative software development with continuous deliveries. Conventional project reviews are mostly dependent upon instructors and teaching assistants in a manual reviewing/mentoring approach, which are simply not scalable.In this paper, we argue that agile projects warrant a ""continuous delivery"" of personalized assessment and feedback. To this end, we propose an online-offline combined approach and built a system upon GitLab. An online platform was built by integrating DevOps tool chains so that personalized reports and assessments are delivered automatically to the teams/students, which serve as the very efficient trigger and basis for the close and targeted offline interactions between students and TAs: daily discussion over instant messaging and weekly in person meeting. This system has been in operation since 2014 for an undergraduate SE course, with over 500 students participating in over 130 project teams in total. Our results show that such a continuous assessment/feedback delivery system is very effective in educating Agile projects in SE courses.","project, devops, assessment, software engineering course, agile","ICSE-SEET '18"
"Conference Paper","Çalikli G,Staron M,Meding W","Measure Early and Decide Fast: Transforming Quality Management and Measurement to Continuous Deployment","","2018","","","51–60","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2018 International Conference on Software and System Process","Gothenburg, Sweden","2018","9781450364591","","https://doi-org.proxy.bnl.lu/10.1145/3202710.3203156;http://dx.doi.org/10.1145/3202710.3203156","10.1145/3202710.3203156","Continuous deployment has become software companies' inevitable response to the economic pressures of the market. At the same time, software quality is crucial in order to meet customers' expectations and hence succeed in the market. Therefore, current quality management processes require transformation in order to keep up with the fast pace of the market while at the same time meeting customers' expectations. In order to figure out how the current quality management process should be transformed to keep up with the fast pace of the market while ensuring both product quality and continuous deployment, we conducted a qualitative study at a large infrastructure provider company. During the interviews we conducted with the quality manager, developer and test architect, we used a metrics portfolio consisting of 59 candidate metrics that can be used in the transformed quality management process. Our findings show that, out of these candidate metrics, 9 metrics should be used in the internal quality measurement dashboard for quality check at the end of the software development life-cycle (SDLC) before the software is released to customer site, while 3 metrics should be used by quality manager to monitor earlier phases of SDLC and 5 metrics should also be delegated to earlier phases of SDLC but without the involvement of the quality manager. To summarize, our study support the claim that quality managers should not be only gatekeepers, but also proactive controllers of quality by monitoring earlier phases of the SDLC.","software quality, continuous deployment, metrics","ICSSP '18"
"Conference Paper","Perez-Palacin D,Ridene Y,Merseguer J","Quality Assessment in DevOps: Automated Analysis of a Tax Fraud Detection System","","2017","","","133–138","Association for Computing Machinery","New York, NY, USA","Proceedings of the 8th ACM/SPEC on International Conference on Performance Engineering Companion","L'Aquila, Italy","2017","9781450348997","","https://doi-org.proxy.bnl.lu/10.1145/3053600.3053632;http://dx.doi.org/10.1145/3053600.3053632","10.1145/3053600.3053632","The paper presents an industrial application of a DevOps process for a Tax fraud detection system. In particular, we report the influence of the quality assessment during development iterations, with special focus on the fulfillment of performance requirements. We investigated how to guarantee quality requirements in a process iteration while new functionalities are added. The experience has been carried out by practitioners and academics in the context of a project for improving quality of data intensive applications.","devops, tax fraud detection, unified modeling language, data intensive applications, model-based quality of service","ICPE '17 Companion"
"Conference Paper","Yasar H","Implementing Secure DevOps Assessment for Highly Regulated Environments","","2017","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 12th International Conference on Availability, Reliability and Security","Reggio Calabria, Italy","2017","9781450352574","","https://doi-org.proxy.bnl.lu/10.1145/3098954.3105819;http://dx.doi.org/10.1145/3098954.3105819","10.1145/3098954.3105819","Secure DevOps has become a standard option for entities seeking to streamline and increase comprehensive participation by all stakeholders in their secure Security Development Lifecycle (SDLC)[1]. In most case in industry, academia, and government, applying DevOps is a straight forward process. There is a subset of entities in these three sectors where applying Secure DevOps is challenging. These are entities that are highly regulated (HRE) as mandated by policies for various reasons, the most often being general security and protection of intellectual property. Even if an entity is highly regulated, its secure SDLC can still benefit from implementing DevOps as long as the implementation does not break any policy[2].","Security Engineering, AppSec, Highly Regulated Environment, Secure DevOps assessment, Secure DevOps, DevSecOps, DevOps","ARES '17"
"Conference Paper","Avritzer A","Automated Scalability Assessment in DevOps Environments","","2020","","","10","Association for Computing Machinery","New York, NY, USA","Companion of the ACM/SPEC International Conference on Performance Engineering","Edmonton AB, Canada","2020","9781450371094","","https://doi-org.proxy.bnl.lu/10.1145/3375555.3384936;http://dx.doi.org/10.1145/3375555.3384936","10.1145/3375555.3384936","In this extended abstract, we provide an outline of the presentation planned for WOSP-C 2020. The goal of the presentation is to provide an overview of the challenges and approaches for automated scalability assessment in the context of DevOps and microservices. The focus of this presentation is on approaches that employ automated identification of performance problems because these approaches can leverage performance anti-pattern[5] detection technology. In addition, we envision extending the approach to recommend component refactoring. In our previous work[1,2] we have designed a methodology and associated tool support for the automated scalability assessment of micro-service architectures, which included the automation of all the steps required for scalability assessment. The presentation starts with an introduction to dependability, operational Profile Data, and DevOps. Specifically, we provide an overview of the state of the art in continuous performance monitoring technologies[4] that are used for obtaining operational profile data using APM tools. We then present an overview of selected approaches for production and performance testing based on the application monitoring tool (PPTAM) as introduced in [1,2]. The presentation concludes by outlining a vision for automated performance anti-pattern[5] detection. Specifically, we present the approach introduced for automated anti-pattern detection based on load testing results and profiling introduced in[6] and provide recommendations for future research.","","ICPE '20"
"Conference Paper","Jennings RA,Gannod G","DevOps - Preparing Students for Professional Practice","","2019","","","1–5","IEEE Press","Covington, KY, USA","2019 IEEE Frontiers in Education Conference (FIE)","","2019","","","https://doi-org.proxy.bnl.lu/10.1109/FIE43999.2019.9028598;http://dx.doi.org/10.1109/FIE43999.2019.9028598","10.1109/FIE43999.2019.9028598","This work in progress paper presents a course on DevOps which is a combination of software development skills and software operations skills. This new course is for sophomores and juniors in the computer science program who want to be prepared for professional software engineering careers. Introduction to DevOps Is a hands-on laboratory course that brings students through Git for source code management, Capybara for automated testing, AWS, Docker, and Ansible for automated virtual machine provisioning and configuration, and Jenkins for Continuous Integration. Unlike our current course offerings which primarily focus on the single developer context in a localized environment, this course prepares students for highly collaborative, team-based projects that use cloud resources to facilitate management of the software deployment pipeline. We developed this course based on feedback from our external advisory board and under consultation from a number of industrial partners. This is complementary to our current offerings in software engineering which focus on Agile software practices. In this paper we describe the core concepts, the design, learning experiences, technologies, and lessons learned through developing and conducting this course. In future work we hope to present student perceptions of learning and provide data collected through direct assessment of student outcomes.","",""
"Conference Paper","Adi Prakoso B,Kuswardono Budiardjo E","The Usage of Agile Adoption Framework to Assess Scrum Process and Recommend Improvements","","2021","","","28–32","Association for Computing Machinery","New York, NY, USA","2021 The 4th International Conference on Software Engineering and Information Management","Yokohama, Japan","2021","9781450388955","","https://doi-org.proxy.bnl.lu/10.1145/3451471.3451476;http://dx.doi.org/10.1145/3451471.3451476","10.1145/3451471.3451476","The Scrum framework is based on the values, principles, and practices that form the foundation for organizations to work. This case study examines an Indonesia-based technology on implementing software development using Scrum. The goal is to assess the process and recommend improvements so XYZ Company can achieve better results at delivering products and services using Scrum. Agile Adoption Framework is used as the assessment framework, evaluating 3 teams represented by its Manager, Product Owner, and Developers. Indicator assessment is done by using data collection methods such as questionnaires or observations. The assessment result shows that XYZ Company achieves Level 2, and the teams achieve Level 2, 4, and 5 respectively. Furthermore, 7 agile practices need improvements, such as evolutionary requirements, continuous delivery, risk-driven iterations, low process ceremony, agile project estimation, pair programming, and test-driven development.","software, software development, software process improvement, Agile Adoption Framework","ICSIM 2021"
"Journal Article","Perez-Palacin D,Merseguer J,Requeno JI,Guerriero M,Di Nitto E,Tamburri DA","A UML Profile for the Design, Quality Assessment and Deployment of Data-Intensive Applications","Softw. Syst. Model.","2019","18","6","3577–3614","Springer-Verlag","Berlin, Heidelberg","","","2019-12","","1619-1366","https://doi-org.proxy.bnl.lu/10.1007/s10270-019-00730-3;http://dx.doi.org/10.1007/s10270-019-00730-3","10.1007/s10270-019-00730-3","Big Data or Data-Intensive applications (DIAs) seek to mine, manipulate, extract or otherwise exploit the potential intelligence hidden behind Big Data. However, several practitioner surveys remark that DIAs potential is still untapped because of very difficult and costly design, quality assessment and continuous refinement. To address the above shortcoming, we propose the use of a UML domain-specific modeling language or profile specifically tailored to support the design, assessment and continuous deployment of DIAs. This article illustrates our DIA-specific profile and outlines its usage in the context of DIA performance engineering and deployment. For DIA performance engineering, we rely on the Apache Hadoop technology, while for DIA deployment, we leverage the TOSCA language. We conclude that the proposed profile offers a powerful language for data-intensive software and systems modeling, quality evaluation and automated deployment of DIAs on private or public clouds.","Apache Hadoop, Software design, UML, Model-driven deployment, Data-intensive applications, Performance assessment, TOSCA language, Big Data, Profile",""
"Conference Paper","Zhou P,Ali Khan AA,Liang P,Badshah S","System and Software Processes in Practice: Insights from Chinese Industry","","2021","","","394–401","Association for Computing Machinery","New York, NY, USA","Evaluation and Assessment in Software Engineering","Trondheim, Norway","2021","9781450390538","","https://doi-org.proxy.bnl.lu/10.1145/3463274.3463786;http://dx.doi.org/10.1145/3463274.3463786","10.1145/3463274.3463786","Software development processes play a key role in the software and system development life cycle. Processes are becoming complex and evolve rapidly due to the modern-day continuous software engineering (CSE) concepts, which are mainly based on continuous integration, continuous delivery, infrastructure-as-code, automation and more. The fast growing Chinese software development industry adopts various processes to achieve potential benefits offered in the international market. This study is conducted with the aim to investigate the trends of processes in practice in the Chinese industry. The survey questionnaire data is collected from 34 practitioners working in software development firms across the China and the results highlight that iterative and agile processes are extensively used in industrial setting. Furthermore, agile and traditional approaches are combined to develop the hybrid processes. Most of the participants are satisfied using the current development processes, however, they show interest to continuously improve the existing process models and methods. Finally, we noticed that majority of the software development organizations used the ISO 9001 standard for process assessment and improvement activities. The given results provide preliminary overview of processes deployed in the Chinese industry.","Survey, Process Improvement Standards, Software processes, Chinese industry","EASE 2021"
"Journal Article","Sabau AR,Hacks S,Steffens A","Implementation of a Continuous Delivery Pipeline for Enterprise Architecture Model Evolution","Softw. Syst. Model.","2021","20","1","117–145","Springer-Verlag","Berlin, Heidelberg","","","2021-02","","1619-1366","https://doi-org.proxy.bnl.lu/10.1007/s10270-020-00828-z;http://dx.doi.org/10.1007/s10270-020-00828-z","10.1007/s10270-020-00828-z","The discipline of enterprise architecture (EA) is an established approach to model and manage the interaction of business processes and IT in an organization. Thereby, the EA model as a central artifact of EA is subject to a continuous evolution caused by multiple sources of changes. The continuous evolution requires a lot of effort in controlling and managing the evolution of the EA model. This is especially true when merging the induced changes from different sources in the EA model. Additionally, the lack of tool and automation support makes this a very time-consuming and error-prone task. The evolutionary character and the automated quality assessment of artifacts is a well-known challenge in the software development domain as well. To meet these challenges, the discipline of continuous delivery (CD) has emerged to be very useful. The evolution of EA model artifacts shows similarities to the evolution of software artifacts. Therefore, we leveraged practices of CD to practices of EA maintenance. Thus, we created a conceptual framework for automated EA model maintenance. The concepts were realized in a first prototype and were evaluated in a fictitious case study against equivalence classes based on EA model metrics and a set of several requirements for automated EA model maintenance from research. Overall, the concepts prove to be a promising basis for further refinement, implementation, and evaluation in research in an industrial context.","Enterprise architecture model maintenance, Enterprise architecture model evolution, Continuous delivery",""
