references copy
Item type;Authors;Title;Journal;Publication year;Volume;Issue;Pages;Edition;Publisher;Address;Book title;Proceedings title;Conference location;Date published;ISBN;ISSN;URLs;DOI;Abstract;Keywords;Notes;Sub-type;Series
Conference Paper;Ullah F,Raft AJ,Shahin M,Zahedi M,Ali Babar M;Security Support in Continuous Deployment Pipeline;;2017;;;57–68;;SCITEPRESS - Science and Technology Publications, Lda;Setubal, PRT;;Proceedings of the 12th International Conference on Evaluation of Novel Approaches to Software Engineering;Porto, Portugal;2017;9789897582509;;"https://doi-org.proxy.bnl.lu/10.5220/0006318200570068;http://dx.doi.org/10.5220/0006318200570068";10.5220/0006318200570068;Continuous Deployment (CD) has emerged as a new practice in the software industry to continuously and automatically deploy software changes into production. Continuous Deployment Pipeline (CDP) supports CD practice by transferring the changes from the repository to production. Since most of the CDP components run in an environment that has several interfaces to the Internet, these components are vulnerable to various kinds of malicious attacks. This paper reports our work aimed at designing secure CDP by utilizing security tactics. We have demonstrated the effectiveness of five security tactics in designing a secure pipeline by conducting an experiment on two CDPs- one incorporates security tactics while the other does not. Both CDPs have been analysed qualitatively and quantitatively. We used assurance cases with goal-structured notations for qualitative analysis. For quantitative analysis, we used penetration tools. Our findings indicate that the applied tactics improve the security of the major components (i.e., repository, continuous integration server, main server) of a CDP by controlling access to the components and establishing secure connections. p>;Continuous Integration., Continuous Deployment, Continuous Deployment Pipeline, Security;;;ENASE 2017
Conference Paper;Greising L,Bartel A,Hagel G;Introducing a Deployment Pipeline for Continuous Delivery in a Software Architecture Course;;2018;;;102–107;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the 3rd European Conference of Software Engineering Education;Seeon/ Bavaria, Germany;2018;9781450363839;;"https://doi-org.proxy.bnl.lu/10.1145/3209087.3209091;http://dx.doi.org/10.1145/3209087.3209091";10.1145/3209087.3209091;Continuous Delivery (CD) has emerged to an important concept of software architecture in the last few years. The goal of a CD strategy is to decrease the time to market of an application while increasing the quality of that software. However, literature shows that teaching CD practices in higher education is in an infancy stage. Therefore a new concept for teaching CD practices is developed and demonstrated. In this concept students have to master several different tools and technologies to create an automated software delivery system. This can be achieved by guiding the students through a hands-on project, in which they develop stage by stage a CD pipeline. This paper introduces necessary background information as well as the CD teaching concept with its scaffolded learning approach for implementing a CD pipeline in a software architecture course.;Scaffolded Learning, Software Architecture, Continuous Delivery, Continuous Integration, Pipeline;;;ECSEE'18
Conference Paper;Shahin M,Babar MA,Zahedi M,Zhu L;Beyond Continuous Delivery: An Empirical Investigation of Continuous Deployment Challenges;;2017;;;111–120;;IEEE Press;Markham, Ontario, Canada;;Proceedings of the 11th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement;;2017;9781509040391;;"https://doi-org.proxy.bnl.lu/10.1109/ESEM.2017.18;http://dx.doi.org/10.1109/ESEM.2017.18";10.1109/ESEM.2017.18;"Context: A growing number of software organizations have been adopting Continuous DElivery (CDE) and Continuous Deployment (CD) practices. Researchers have started investing significant efforts in studying different aspects of CDE and CD. Many studies refer to CDE (i.e., where an application is potentially capable of being deployed) and CD (i.e., where an application is automatically deployed to production on every update) as synonyms and do not distinguish them from each other. Despite CDE being successfully adopted by a large number of organizations, it is not empirically known why organizations still are unable or demotivated to have automatic and continuous deployment (i.e., CD practice). Goal: This study aims at empirically investigating and classifying the factors that may impact on adopting and implementing CD practice. Method: We conducted a mixed-method empirical study consisting of interviewing 21 software practitioners, followed by a survey with 98 respondents. Results: Our study reveals 11 confounding factors that limit or demotivate software organizations to push changes automatically and continuously to production. The most important ones are ""lack of automated (user) acceptance test"", ""manual quality check"", ""deployment as business decision"", ""insufficient level of automated test coverage"", and ""highly bureaucratic deployment process"". Conclusion: Our findings highlight several areas for future research and provide suggestions for practitioners to streamline deployment process.";continuous delivery, continuous deployment, DevOps, empirical study;;;ESEM '17
Conference Paper;Bass L,Holz R,Rimba P,Tran AB,Zhu L;Securing a Deployment Pipeline;;2015;;;4–7;;IEEE Press;Florence, Italy;;Proceedings of the Third International Workshop on Release Engineering;;2015;;;;;"At the RELENG 2014 Q&A, the question was asked, ""What is your greatest concern?"" and the response was ""someone subverting our deployment pipeline"". That is the motivation for this paper. We explore what it means to subvert a pipeline and provide several different scenarios of subversion. We then focus on the issue of securing a pipeline. As a result, we provide an engineering process that is based on having trusted components mediate access to sensitive portions of the pipeline from other components, which can remain untrusted. Applying our process to a pipeline we constructed involving Chef, Jenkins, Docker, Github, and AWS, we find that some aspects of our process result in easy to make changes to the pipeline, whereas others are more difficult. Consequently, we have developed a design that hardens the pipeline, although it does not yet completely secure it.";DevOps, continuous deployment, supply chain;;;RELENG '15
Journal Article;Chen L;Continuous Delivery;J. Syst. Softw.;2017;128;C;72–86;;Elsevier Science Inc.;USA;;;;2017-06;;0164-1212;"https://doi-org.proxy.bnl.lu/10.1016/j.jss.2017.02.013;http://dx.doi.org/10.1016/j.jss.2017.02.013";10.1016/j.jss.2017.02.013;"Present six strategies to overcome Continuous Delivery (CD) adoption challenges.Identify and elaborate eight further challenges for research.They are based on four years CD adoption experience at a multi-billion-euro company. Continuous Delivery (CD) is a relatively new software development approach. Companies that have adopted CD have reported significant benefits. Motivated by these benefits, many companies would like to adopt CD. However, adopting CD can be very challenging for a number of reasons, such as obtaining buy-in from a wide range of stakeholders whose goals may seemingly be different fromor even conflict withour own; gaining sustained support in a dynamic complex enterprise environment; maintaining an application development team's momentum when their application's migration to CD requires an additional strenuous effort over a long period of time; and so on. To help overcome the adoption challenges, I present six strategies: (1) selling CD as a painkiller; (2) establishing a dedicated team with multi-disciplinary members; (3) continuous delivery of continuous delivery; (4) starting with the easy but important applications; (5) visual CD pipeline skeleton; (6) expert drop. These strategies were derived from four years of experience in implementing CD at a multi-billion-euro company. Additionally, our experience led to the identification of eight further challenges for research. The information contributes toward building a body of knowledge for CD adoption.";Adoption, Agile Software Development, Continuous Deployment, Continuous Delivery, DevOps, Continuous Software Engineering;;;
Conference Paper;Bass L,Holz R,Rimba P,Tran AB,Zhu L;Securing a Deployment Pipeline;;2015;;;4–7;;IEEE Computer Society;USA;;Proceedings of the 2015 IEEE/ACM 3rd International Workshop on Release Engineering;;2015;9781467370707;;"https://doi-org.proxy.bnl.lu/10.1109/RELENG.2015.11;http://dx.doi.org/10.1109/RELENG.2015.11";10.1109/RELENG.2015.11;"At the RELENG 2014 Q&A, the question was asked, ""What is your greatest concern?"" and the response was ""someone subverting our deployment pipeline"". That is the motivation for this paper. We explore what it means to subvert a pipeline and provide several different scenarios of subversion. We then focus on the issue of securing a pipeline. As a result, we provide an engineering process that is based on having trustworthy components mediate access to sensitive portions of the pipeline from other components, which can remain untrustworthy. Applying our process to a pipeline involving Chef, Jenkins, Docker, Github, and AWS, we find that some aspects of our process result in easy to make changes to the pipeline, whereas others are more difficult. Consequently, we have developed a design that hardens the pipeline, although it does not yet completely secure it.";continuous deployment, DevOps, supply chain;;;RELENG '15
Conference Paper;Armenise V;Continuous Delivery with Jenkins: Jenkins Solutions to Implement Continuous Delivery;;2015;;;24–27;;IEEE Computer Society;USA;;Proceedings of the 2015 IEEE/ACM 3rd International Workshop on Release Engineering;;2015;9781467370707;;"https://doi-org.proxy.bnl.lu/10.1109/RELENG.2015.19;http://dx.doi.org/10.1109/RELENG.2015.19";10.1109/RELENG.2015.19;This paper illustrates how Jenkins evolved from being a pure Continuous Integration Platform to a Continuous Delivery one, embracing the new design tendency where not only the build but also the release and the delivery process of the product is automated. In this scenario Jenkins becomes the orchestrator tool for all the teams/roles involved in the software lifecycle, thanks to which Development, Quality&Assurance and Operations teams can work closely together.Goal of this paper is not only to position Jenkins as hub for CD, but also introduce the challenges that still need to be solved in order to strengthen Jenkins' tracking capabilities.;;;;RELENG '15
Conference Paper;Armenise V;Continuous Delivery with Jenkins: Jenkins Solutions to Implement Continuous Delivery;;2015;;;24–27;;IEEE Press;Florence, Italy;;Proceedings of the Third International Workshop on Release Engineering;;2015;;;;;This paper illustrates how Jenkins evolved from being a pure Continuous Integration Platform to a Continuous Delivery one, embracing the new design tendency where not only the build but also the release and the delivery process of the product is automated. In this scenario Jenkins becomes the orchestrator tool for all the teams/roles involved in the software lifecycle, thanks to which Development, Quality&Assurance and Operations teams can work closely together.Goal of this paper is not only to position Jenkins as hub for CD, but also introduce the challenges that still need to be solved in order to strengthen Jenkins' tracking capabilities.;;;;RELENG '15
Book;Humble J,Farley D;Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation;;2010;;;;1st;Addison-Wesley Professional;;;;;2010;9780321601919;;;;Getting software released to users is often a painful, risky, and time-consuming process. This groundbreaking new book sets out the principles and technical practices that enable rapid, incremental delivery of high quality, valuable new functionality to users. Through automation of the build, deployment, and testing process, and improved collaboration between developers, testers, and operations, delivery teams can get changes released in a matter of hours sometimes even minutesno matter what the size of a project or the complexity of its code base. Jez Humble and David Farley begin by presenting the foundations of a rapid, reliable, low-risk delivery process. Next, they introduce the deployment pipeline, an automated process for managing all changes, from check-in to release. Finally, they discuss the ecosystem needed to support continuous delivery, from infrastructure, data and configuration management to governance. The authors introduce state-of-the-art techniques, including automated infrastructure management and data migration, and the use of virtualization. For each, they review key issues, identify best practices, and demonstrate how to mitigate risks. Coverage includes Automating all facets of building, integrating, testing, and deploying software Implementing deployment pipelines at team and organizational levels Improving collaboration between developers, testers, and operations Developing features incrementally on large and distributed teams Implementing an effective configuration management strategy Automating acceptance testing, from analysis to implementation Testing capacity and other non-functional requirements Implementing continuous deployment and zero-downtime releases Managing infrastructure, data, components and dependencies Navigating risk management, compliance, and auditing Whether youre a developer, systems administrator, tester, or manager, this book will help your organization move from idea to release faster than everso you can deliver value to your business rapidly and reliably.;;;;
Conference Paper;Chen L;Continuous Delivery: Overcoming Adoption Obstacles;;2016;;;84;;Association for Computing Machinery;New York, NY, USA;;Proceedings of the International Workshop on Continuous Software Evolution and Delivery;Austin, Texas;2016;9781450341578;;"https://doi-org.proxy.bnl.lu/10.1145/2896941.2896956;http://dx.doi.org/10.1145/2896941.2896956";10.1145/2896941.2896956;Continuous Delivery (CD) can bring huge benefits, but implementing CD is challenging. For some challenges, one can only see them when he/she travels on the journey far enough. Paddy Power has been implementing CD for more than three years. In this talk, I will present the major obstacles we encountered and how we addressed them. These obstacles cover various areas, including organizational, cultural, process, and technical. I will also discuss the areas where I see researchers can help.;continuous delivery, continuous deployment, continuous software engineering, agile software development;;;CSED '16
