"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Edition","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Sub-type","Series"
"Conference Paper","Bai X,Li M,Pei D,Li S,Ye D","Continuous Delivery of Personalized Assessment and Feedback in Agile Software Engineering Projects","","2018","","","58–67","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 40th International Conference on Software Engineering: Software Engineering Education and Training","Gothenburg, Sweden","2018","9781450356602","","https://doi-org.proxy.bnl.lu/10.1145/3183377.3183387;http://dx.doi.org/10.1145/3183377.3183387","10.1145/3183377.3183387","In recent years, Agile development has been adopted in project practices of Software Engineering (SE) courses. However, it is a great challenge to provide timely assessment and feedback to project teams and individual students with a frequency that catches up with iterative, incremental, and cooperative software development with continuous deliveries. Conventional project reviews are mostly dependent upon instructors and teaching assistants in a manual reviewing/mentoring approach, which are simply not scalable.In this paper, we argue that agile projects warrant a ""continuous delivery"" of personalized assessment and feedback. To this end, we propose an online-offline combined approach and built a system upon GitLab. An online platform was built by integrating DevOps tool chains so that personalized reports and assessments are delivered automatically to the teams/students, which serve as the very efficient trigger and basis for the close and targeted offline interactions between students and TAs: daily discussion over instant messaging and weekly in person meeting. This system has been in operation since 2014 for an undergraduate SE course, with over 500 students participating in over 130 project teams in total. Our results show that such a continuous assessment/feedback delivery system is very effective in educating Agile projects in SE courses.","devops, assessment, software engineering course, project, agile","","ICSE-SEET '18"
"Conference Paper","Çalikli G,Staron M,Meding W","Measure Early and Decide Fast: Transforming Quality Management and Measurement to Continuous Deployment","","2018","","","51–60","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 2018 International Conference on Software and System Process","Gothenburg, Sweden","2018","9781450364591","","https://doi-org.proxy.bnl.lu/10.1145/3202710.3203156;http://dx.doi.org/10.1145/3202710.3203156","10.1145/3202710.3203156","Continuous deployment has become software companies' inevitable response to the economic pressures of the market. At the same time, software quality is crucial in order to meet customers' expectations and hence succeed in the market. Therefore, current quality management processes require transformation in order to keep up with the fast pace of the market while at the same time meeting customers' expectations. In order to figure out how the current quality management process should be transformed to keep up with the fast pace of the market while ensuring both product quality and continuous deployment, we conducted a qualitative study at a large infrastructure provider company. During the interviews we conducted with the quality manager, developer and test architect, we used a metrics portfolio consisting of 59 candidate metrics that can be used in the transformed quality management process. Our findings show that, out of these candidate metrics, 9 metrics should be used in the internal quality measurement dashboard for quality check at the end of the software development life-cycle (SDLC) before the software is released to customer site, while 3 metrics should be used by quality manager to monitor earlier phases of SDLC and 5 metrics should also be delegated to earlier phases of SDLC but without the involvement of the quality manager. To summarize, our study support the claim that quality managers should not be only gatekeepers, but also proactive controllers of quality by monitoring earlier phases of the SDLC.","metrics, software quality, continuous deployment","","ICSSP '18"
"Conference Paper","Zeller M","Towards Continuous Safety Assessment In Context of DevOps","","2021","","","145–157","","Springer-Verlag","Berlin, Heidelberg","Computer Safety, Reliability, and Security. SAFECOMP 2021 Workshops: DECSoS, MAPSOD, DepDevOps, USDAI, and WAISE, York, UK, September 7, 2021, Proceedings","York, United Kingdom","2021","9783030839055","","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-83906-2_11;http://dx.doi.org/10.1007/978-3-030-83906-2_11","10.1007/978-3-030-83906-2_11","Promoted by the internet companies, continuous delivery is more and more appealing to industries which develop systems with safety-critical functions. Since safety-critical systems must meet regulatory requirements and require specific safety assessment processes in addition to the normal development steps, enabling continuous delivery of software in safety-critical systems requires the automation of the safety assessment process in the delivery pipeline. In this paper, we outline a continuous delivery pipeline for realizing continuous safety assessment in software-intensive safety-critical systems based on model-based safety assessment methods.","DevOps, Safety assessment, Continuous delivery, Agile","",""
"Conference Paper","Yang B,Sailer A,Mohindra A","Survey and Evaluation of Blue-Green Deployment Techniques in Cloud Native Environments","","2019","","","69–81","","Springer-Verlag","Berlin, Heidelberg","Service-Oriented Computing – ICSOC 2019 Workshops: WESOACS, ASOCA, ISYCC, TBCE, and STRAPS, Toulouse, France, October 28–31, 2019, Revised Selected Papers","Toulouse, France","2019","9783030459888","","https://doi-org.proxy.bnl.lu/10.1007/978-3-030-45989-5_6;http://dx.doi.org/10.1007/978-3-030-45989-5_6","10.1007/978-3-030-45989-5_6","Today, the cloud computing customers assume that the services or applications consumed from the cloud are always on, highly available for uninterrupted utilization. The requirement then for the service providers becomes to minimize the planned maintenance windows duration in order to reduce their repercussions on the service availability for the consumers. We evaluate in this paper the continuous deployment methodology called Blue/Green deployment which aims to support zero maintenance windows, and consequently to avoid any interruption to the end users. Our experiments analyze the most common Blue/Green deployment techniques in the industry, measure and normalize their behavior, and aim to identify the approach with the best performing continuous delivery as compared to the available technologies.","Blue/Green deployment, High availability, Service discovery, Continuous delivery","",""
"Conference Paper","Avritzer A","Automated Scalability Assessment in DevOps Environments","","2020","","","10","","Association for Computing Machinery","New York, NY, USA","Companion of the ACM/SPEC International Conference on Performance Engineering","Edmonton AB, Canada","2020","9781450371094","","https://doi-org.proxy.bnl.lu/10.1145/3375555.3384936;http://dx.doi.org/10.1145/3375555.3384936","10.1145/3375555.3384936","In this extended abstract, we provide an outline of the presentation planned for WOSP-C 2020. The goal of the presentation is to provide an overview of the challenges and approaches for automated scalability assessment in the context of DevOps and microservices. The focus of this presentation is on approaches that employ automated identification of performance problems because these approaches can leverage performance anti-pattern[5] detection technology. In addition, we envision extending the approach to recommend component refactoring. In our previous work[1,2] we have designed a methodology and associated tool support for the automated scalability assessment of micro-service architectures, which included the automation of all the steps required for scalability assessment. The presentation starts with an introduction to dependability, operational Profile Data, and DevOps. Specifically, we provide an overview of the state of the art in continuous performance monitoring technologies[4] that are used for obtaining operational profile data using APM tools. We then present an overview of selected approaches for production and performance testing based on the application monitoring tool (PPTAM) as introduced in [1,2]. The presentation concludes by outlining a vision for automated performance anti-pattern[5] detection. Specifically, we present the approach introduced for automated anti-pattern detection based on load testing results and profiling introduced in[6] and provide recommendations for future research.","","","ICPE '20"
"Conference Paper","Perez-Palacin D,Ridene Y,Merseguer J","Quality Assessment in DevOps: Automated Analysis of a Tax Fraud Detection System","","2017","","","133–138","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 8th ACM/SPEC on International Conference on Performance Engineering Companion","L'Aquila, Italy","2017","9781450348997","","https://doi-org.proxy.bnl.lu/10.1145/3053600.3053632;http://dx.doi.org/10.1145/3053600.3053632","10.1145/3053600.3053632","The paper presents an industrial application of a DevOps process for a Tax fraud detection system. In particular, we report the influence of the quality assessment during development iterations, with special focus on the fulfillment of performance requirements. We investigated how to guarantee quality requirements in a process iteration while new functionalities are added. The experience has been carried out by practitioners and academics in the context of a project for improving quality of data intensive applications.","model-based quality of service, unified modeling language, data intensive applications, devops, tax fraud detection","","ICPE '17 Companion"
"Book","Raheja Y,Borgese G,Felsen N","Effective DevOps with AWS: Implement Continuous Delivery and Integration in the AWS Environment, 2nd Edition","","2018","","","","","Packt Publishing","","","","2018","9781789539974","","","","Scale and maintain outstanding performance in your AWS-based infrastructure using DevOps principles Key Features Implement continuous integration and continuous deployment pipelines on AWS Gain insight from an expert who has worked with Silicon Valley's most high-profile companies Implement DevOps principles to take full advantage of the AWS stack and services Book Description The DevOps movement has transformed the way modern tech companies work. Amazon Web Services (AWS), which has been at the forefront of the cloud computing revolution, has also been a key contributor to the DevOps movement, creating a huge range of managed services that help you implement DevOps principles. Effective DevOps with AWS, Second Edition will help you to understand how the most successful tech start-ups launch and scale their services on AWS, and will teach you how you can do the same. This book explains how to treat infrastructure as code, meaning you can bring resources online and offline as easily as you control your software. You will also build a continuous integration and continuous deployment pipeline to keep your app up to date. Once you have gotten to grips will all this, we'll move on to how to scale your applications to offer maximum performance to users even when traffic spikes, by using the latest technologies, such as containers. In addition to this, you'll get insights into monitoring and alerting, so you can make sure your users have the best experience when using your service. In the concluding chapters, we'll cover inbuilt AWS tools such as CodeDeploy and Cloud Formation, which are used by many AWS administrators to perform DevOps. By the end of this book, you'll have learned how to ensure the security of your platform and data, using the latest and most prominent AWS tools. What you will learn Implement automatic AWS instance provisioning using Cloud Formation Deploy your application on a provisioned infrastructure with Ansible Manage infrastructure using Terraform Build and deploy a CI/CD pipeline with Automated Testing on AWS Understand the container journey for a CI/CD pipeline using AWS ECS Monitor and secure your AWS environment Who this book is for Effective DevOps with AWS is for you if you are a developer, DevOps engineer, or you work in a team which wants to build and use AWS for software infrastructure. Basic computer science knowledge is required to get the most out of this book.","","",""
"Book","Saito H,Lee HC,Wu CY","DevOps with Kubernetes: Accelerating Software Delivery with Container Orchestrators","","2017","","","","","Packt Publishing","","","","2017","9781788396646","","","","Learn to implement DevOps using Docker & Kubernetes. About This Book Learning DevOps, container, and Kubernetes within one book. Leverage Kubernetes as a platform to deploy, scale, and run containers efficiently. A practical guide towards container management and orchestration Who This Book Is ForThis book is targeted for anyone, who wants to learn containerization and clustering in a practical way using Kubernetes. No prerequisite skills required, however, essential DevOps skill and public/private Cloud knowledge will accelerate the reading speed. If you're advanced readers, you can also get a deeper understanding of all the tools and technique described in the book. What You Will Learn Learn fundamental and advanced DevOps skills and tools Get a comprehensive understanding for container Learn how to move your application to container world Learn how to manipulate your application by KubernetesLearn how to work with Kubernetes in popular public cloud Improve time to market with Kubernetes and Continuous DeliveryLearn how to monitor, log, and troubleshoot your application with Kubernetes In Detail Containerization is said to be the best way to implement DevOps. Google developed Kubernetes, which orchestrates containers efficiently and is considered the frontrunner in container orchestration. Kubernetes is an orchestrator that creates and manages your containers on clusters of servers. This book will guide you from simply deploying a container to administrate a Kubernetes cluster, and then you will learn how to do monitoring, logging, and continuous deployment in DevOps. The initial stages of the book will introduce the fundamental DevOps and the concept of containers. It will move on to how to containerize applications and deploy them into. The book will then introduce networks in Kubernetes. We then move on to advanced DevOps skills such as monitoring, logging, and continuous deployment in Kubernetes. It will proceed to introduce permission control for Kubernetes resources via attribute-based access control and role-based access control. The final stage of the book will cover deploying and managing your container clusters on the popular public cloud Amazon Web Services and Google Cloud Platform. At the end of the book, other orchestration frameworks, such as Docker Swarm mode, Amazon ECS, and Apache Mesos will be discussed. Style and approach Readers will be taken through fundamental DevOps skills and Kubernetes concept and administration with detailed examples. It introduces comprehensive DevOps topics, including microservices, automation tools, containers, monitoring, logging, continuous delivery, and popular public cloud environments. At each step readers will learn how to leverage Kubernetes in their everyday lives and transform their original delivery pipeline for fast and efficient delivery.","","",""
"Book","Bangera S","DevOps for Serverless Applications: Design, Deploy, and Monitor Your Serverless Applications Using DevOps Practices","","2018","","","","","Packt Publishing","","","","2018","9781788623445","","","","Set up complete CI and CD pipelines for your serverless applications using DevOps principles Key Features Understand various services for designing serverless architecture Build CD pipelines using various cloud providers for your serverless applications Implement DevOps best practices when building serverless applications Book Description Serverless applications are becoming very popular among developers and are generating a buzz in the tech market. Many organizations struggle with the effective implementation of DevOps with serverless applications. DevOps for Serverless Applications takes you through different DevOps-related scenarios to give you a solid foundation in serverless deployment. You will start by understanding the concepts of serverless architecture and development, and why they are important. Then, you will get to grips with the DevOps ideology and gain an understanding of how it fits into the Serverless Framework. You'll cover deployment framework building and deployment with CI and CD pipelines for serverless applications. You will also explore log management and issue reporting in the serverless environment. In the concluding chapters, you will learn important security tips and best practices for secure pipeline management. By the end of this book, you will be in a position to effectively build a complete CI and CD delivery pipeline with log management for serverless applications. What you will learn Explore serverless fundamentals and effectively combine them with DevOps Set up CI and CD with AWS Lambda and other popular Serverless service providers with the help of the Serverless Framework Perform monitoring and logging with serverless applications Set up a dynamic dashboard for different service providers Discover best practices for applying DevOps to serverless architecture Understand use cases for different serverless architectures Who this book is for DevOps for Serverless Applications is for DevOps engineers, architects, or anyone interested in understanding the DevOps ideology in the serverless world. You will learn to use DevOps with serverless and apply continuous integration, continuous delivery, testing, logging, and monitoring with serverless.","","",""
"Conference Paper","Yasar H","Implementing Secure DevOps Assessment for Highly Regulated Environments","","2017","","","","","Association for Computing Machinery","New York, NY, USA","Proceedings of the 12th International Conference on Availability, Reliability and Security","Reggio Calabria, Italy","2017","9781450352574","","https://doi-org.proxy.bnl.lu/10.1145/3098954.3105819;http://dx.doi.org/10.1145/3098954.3105819","10.1145/3098954.3105819","Secure DevOps has become a standard option for entities seeking to streamline and increase comprehensive participation by all stakeholders in their secure Security Development Lifecycle (SDLC)[1]. In most case in industry, academia, and government, applying DevOps is a straight forward process. There is a subset of entities in these three sectors where applying Secure DevOps is challenging. These are entities that are highly regulated (HRE) as mandated by policies for various reasons, the most often being general security and protection of intellectual property. Even if an entity is highly regulated, its secure SDLC can still benefit from implementing DevOps as long as the implementation does not break any policy[2].","DevSecOps, Secure DevOps assessment, Secure DevOps, DevOps, AppSec, Security Engineering, Highly Regulated Environment","","ARES '17"
